Datetime,ID_Pozo,Temp_Fluido_C,Presion_Succion_psi,Presion_Descarga_psi,Caudal_BPD,Vibracion_mm_s
2026-03-09 00:00:00,P-01,85.86654306244847,49.650335584457984,450.5432810348183,124.57056761986169,1.8309966121603942
2026-03-09 00:00:00,P-02,83.99867675403337,51.36570084984612,451.68988827966825,119.24086494777254,1.6639025357880175
2026-03-09 00:00:00,P-03,83.69451536222184,45.417097073524445,472.74964880204624,118.30141088582869,1.2022209734322247
2026-03-09 00:10:00,P-01,86.34714973920576,51.23783277757209,452.6944865656014,118.91068731613696,1.7166581569469963
2026-03-09 00:10:00,P-02,86.43454320472,50.3919586565531,456.87814099927573,117.70934601949067,1.0965576582250922
2026-03-09 00:10:00,P-03,81.07631867315213,63.68616158759985,711.7717127844311,120.4693742396039,1.76916488021697
2026-03-09 00:20:00,P-01,83.65108782614043,48.53330412962551,451.69969513965003,123.75433971358126,1.5875250327868486
2026-03-09 00:20:00,P-02,84.02943589430589,50.669380702377374,460.7249949035695,120.05655181123511,1.6337310810979728
2026-03-09 00:20:00,P-03,81.76710178381559,44.451728303928,421.79976697285855,121.20735437162475,1.3083656488774036
2026-03-09 00:30:00,P-01,87.28210573885394,49.567350202073136,449.32902188041027,117.37278786961433,1.9727058129204584
2026-03-09 00:30:00,P-02,84.50106803557964,50.14406865016891,442.6320805525929,119.80649952949122,1.710826492969654
2026-03-09 00:30:00,P-03,85.62896278059492,39.47581759915573,411.8474544130239,117.36718922050274,1.5627749189029727
2026-03-09 00:40:00,P-01,87.925881688944,50.2226559765919,448.6167299789004,120.73593346692256,1.5786991303557099
2026-03-09 00:40:00,P-02,84.46232139362257,51.347341521455746,440.23566090354547,115.35133211197197,1.430957389360368
2026-03-09 00:40:00,P-03,86.51411206576661,42.092076145834675,450.4674957983033,117.78978772071088,1.4869214269402389
2026-03-09 00:50:00,P-01,84.58958997508681,50.048950104776765,456.3376420641671,114.28027554045602,1.5301452051937354
2026-03-09 00:50:00,P-02,87.97064641054737,50.055992743547115,465.1430363573026,118.8971056747694,1.8018395323345149
2026-03-09 00:50:00,P-03,85.7653233628543,48.21265627664531,478.0506496025923,116.01385503235359,1.4800396478757532
2026-03-09 01:00:00,P-01,84.74186092015319,49.672981204649815,440.94140107914,111.40683254457014,1.7759468220876982
2026-03-09 01:00:00,P-02,84.31396638697156,49.24818005863698,447.615079046519,116.87933049496189,1.2983189593334639
2026-03-09 01:00:00,P-03,85.55173230831419,54.978131946998595,396.93197651837164,121.1557549475672,1.3286982183446439
2026-03-09 01:10:00,P-01,82.65326023260333,50.626603763069625,457.336035624176,123.26017864911142,1.9005492794452532
2026-03-09 01:10:00,P-02,85.51097368852543,53.02822866186462,452.09034165795777,119.4937125666729,1.517035976422555
2026-03-09 01:10:00,P-03,84.54327038333895,53.704111720123215,568.8015674379858,119.66957816278287,1.324650988960665
2026-03-09 01:20:00,P-01,84.6257131386846,49.97012917916505,446.078381143491,122.13847564003242,1.5165467015348786
2026-03-09 01:20:00,P-02,85.40729533779732,50.66551651371966,454.0872576802765,126.86982376791579,1.940001206487901
2026-03-09 01:20:00,P-03,82.4641121586813,72.66009933958831,400.8629300035306,119.97894207614227,1.2895240012154883
